Name,Dominant Topic, Percentage of Positive Sentiment,Review Quality Index,Comment,Speciality,Number of Review,Bayesian Adjusted Rating
Dr. Aaron N. Manson,Konwledge,0.75,0.118398206,"My friend brought me to see Dr. Gartner for consultation this past summer. Who knew a month later I would be doing a life changing procedure. I had a breast augmentation with a lift and abdominoplasty performed. Although the swelling did take some time to go away I'm thrilled with the resents. This has really changed my life. Doctor Gardner and his staff were there every step of the way to help me through it. I would definitely recommend having this done, But now would definitely do it all over again with Dr Gartner.",Internist / Geriatrician,6,3.95990566
Dr. Aaron N. Manson,Konwledge,1,0.084188038,"Dr. Manson is a very caring physician who has taken care of me for many years. He is very thorough, with a terrific fund of knowledge. I highly recommend him!",Internist / Geriatrician,6,3.95990566
Dr. Adam D. Schaffner,Konwledge,0.909090909,0.869871929,I received injections (fillers) and suffered from bumps and swelling for weeks. They finally went away but there was no visible difference on my face. A waste of money.,"Plastic / Cosmetic Surgeon, Physician",18,4.101694915
Dr. Adam D. Schaffner,Staff,1,0.94362567,"I’m extremely happy with my results. I was well informed from day one and everyone made me feel very comfortable.
The office is very clean warm and cozy.
I’ll recommend him to everyone ","Plastic / Cosmetic Surgeon, Physician",18,4.101694915
Dr. Adam D. Zeitlin,Staff,1,0.324553935,Really nice and I had an extremely pleasant visit. There were mostly older people who were there but I'm in my 20s and was extremely happy.,Family Doctor / G.P.,3,4.026699029
Dr. Adina Benitez,Staff,0.5,0.111226892,"She is very professional, thorough and friendly. I am so glad I made her my PCP, hope she will be my doctor for years to come.",Family Doctor / G.P.,4,4.038461538
Dr. Adrienne L. Simone,Punctuality,0.8,0.114761937,Love Dr Simone. She is the best OBGYN in NYC! I moved out of New York last year and one of the things I truly miss is her.,Gynecologist (OBGYN),14,4.085526316
Dr. Adrienne L. Simone,Punctuality,1,0.005085501,She is a terrific MD. Takes her time and inspires confidence. Very caring. Unfortunately she no longer takes my insurance. I changed to another MD reluctantly after a minor procedure had to be paid entirely by me.. Her office person by contrast is incompetent..,Gynecologist (OBGYN),14,4.085526316
Dr. Adrienne L. Simone,Staff,0.875,0.251849383,"I have been seeing Dr. Simone for over 7 years. She no longer takes my insurance (blue cross) but I pay for my yearly exam out of pocket because I cannot imagine seeing anyone else. She takes time and really listens and pays attention. She is a warm, approachable, engaged. I cannot recommend her highly enough. I have always found her staff to be efficient. She has had the same nurse for years.",Gynecologist (OBGYN),14,4.085526316
Dr. Alan A. Adler,Punctuality,0.5,0.971295634,"Dr. Adler seemed very nice at first- that is why I chose him. However, during the course of my pregnancy at the check ups, I noticed that he was in fact very abrupt, cold and just not really interested in helping me see through my choice of wanting natural childbirth. But again, I gave him the benefit of a doubt, attributing his attitude to his busy schedule. Well, I was wrong! He was terrible at my birth also. In fact, I feel like he ruined the exciting experience completely. He was groggy to the point that he hardly said hello when he walked into the room. He broke my water with not so much as telling me he was doing so. In the end, I had a C-Section, which I felt he wanted for me all along. I had a healthy beautiful baby anyway, but for my next, I WILL definitely not be using this practice.",Gynecologist (OBGYN),44,4.059027778
